Route Code,Fly along
MPSMS-VHHH,MAGIT R213 JMU G212 VYK W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA/POLHO G218 TMR B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA/SIMLI A588 HRB G212 VYK W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA/SADLI A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 NLG W23 ZUH R473 SIERA
MPSMS-TAMOT,MAGIT R213 JMU G212 VYK W37 OMBEB R473 WYN W18 TAMOT/POLHO G218 TMR B458 DADGA W37 OMBEB R473 WYN W18 TAMOT/SIMLI A588 HRB G212 VYK W37 OMBEB R473 WYN W18 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT/SADLI A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 TAMOT
MORIT-VMMC,MORIT B330 KWE W181 DUDIT A599 POU W7 SAREX W6 LATOP
MORIT-VHHH,MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA
MORIT-TAMOT,MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT
MORIT-SAGAG,MORIT B330 UBKER G212 SGM A581 SAGAG
MORIT-LINSO,MORIT B330 UBKER G212 SGM A599 LINSO
MORIT-KATBO,MORIT B330 UBKER G212 SGM A599 ADBAG R471 KATBO
MN-VHHH,MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
MN-TAMOT,MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 TAMOT
MAGOG-SADLI,MAGOG A470 TOL A599 JTN G327 LAMEN A593 SADLI
MAGIT-VHHH,MAGIT R213 JMU G212 VYK W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
MAGIT-TAMOT,MAGIT R213 JMU G212 VYK W37 OMBEB R473 WYN W18 TAMOT
MAGIT-AGAVO,MAGIT R213 JMU G212 HRB A588 CHI W107 SANKO A326 DONVO G597 AGAVO
LINSO-WHA-SADLI,LINSO A599 SGM A581 WHA R343 PK W116 JTN G327 LAMEN A593 SADLI
LINSO-VMMC,LINSO A599 POU W7 SAREX W6 LATOP
LINSO-VHHH,LINSO A599 POU R473 SIERA
LINSO-TAMOT,LINSO A599 POU B330 TAMOT
SAGAG-G470-RULAD,SAGAG A581 SGM W144 IGNAK W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG B215 KABDO W119 GOBOK A343 RULAD
LINSO-SADLI,LINSO A599 POU G471 PLT A599 JTN G327 LAMEN A593 SADLI
SADLI-TEBAK,SADLI A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 GYA R474 TEBAK
LINSO-SARIN,LINSO A599  SGM W144 IGNAK W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN
LINSO-MORIT,LINSO A599  SGM W144 IGNAK W179 OMBON B330 MORIT
KATBO-MORIT,KATBO R471 ADBAG A599 SGM W144 IGNAK W179 OMBON B330 MORIT
SADLI-WHA-TEBAK,SADLI A593 PK R343 MADUK W51 LEGIV W164 ADGOL W50 XSH W80 UDUMI W37 OLMIB W83 GOSMA R343 WUY R474 TEBAK
KAMUD-Y1-VHHH,KAMUD W186 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU R473 SIERA
KAMUD-Y1-TAMOT,KAMUD W186 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU B330 TAMOT
KAMUD-VHHH,KAMUD A468 XKC B215 FKG W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU R473 SIERA
KAMUD-TAMOT,KAMUD A468 XKC B215 FKG W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU B330 TAMOT
KAMUD-SAGAG,KAMUD W186 SADAN W187 TUSLI W112 VIKUP W191 DNC W565 XIXAN B330 UBKER G212 SGM A581 SAGAG
KAMUD-G470-VHHH,KAMUD A468 XKC B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA
KAMUD-G470-TAMOT,KAMUD A468 XKC B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT
KAMUD-AGAVO,KAMUD A468 XKC B215 FKG W188 GOVSA W66 DKO W69 HUR B339 LADIX W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO
INTIK-VHHH,INTIK A575 LHT B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
INTIK-TAMOT,INTIK A575 LHT B458 DADGA W37 OMBEB R473 WYN W18 TAMOT
INTIK-SADLI,INTIK W32 HET B208 PAMRUO W129 KAMDA W128 FYG B208 HFE R343 PK W116 JTN G327 LAMEN A593 SADLI
GOPTO-VHHH,GOPTO B206 ADPET W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU R473 SIERA
GOPTO-TAMOT,GOPTO B206 ADPET W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU B330 TAMOT
GOPTO-PURPA,GOPTO B206 NIRAV G588 FKG B215 KABDO W119 LESVI B215 PURPA
SARIN-G470-TEBAK,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 SJG W2 LBN R343 WUY R474 TEBAK
GOLOT-VMMC,GOLOT A345 BIDIB A575 CHG G332 MUDAM G212 VYK W37 OMBEB R473 NOLON W90 POU W7 SAREX W6 LATOP
GOLOT-TELOK,GOLOT A345 TELOK
BISUN-VHHH,BISUN B451 WQG G341 TGO G212 VYK W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
BISUN-TELOK,BISUN B451 HLD A345 TELOK
BISUN-AGAVO,BISUN B451 WQG G341 LJB A588 CHI W107 SANKO A326 DONVO G597 AGAVO
BEKOL-Y1-RULAD,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON Y1 SADAN L888 XKC A460 RULAD
BEKOL-Y1-KAMUD,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON Y1 SADAN W186 KAMUD
BEKOL-TOMUK,BEKOL A461 BUBDA W56 VYK W34 VAPGU W100 ORAVA W201 UNSEK A326 SANKO B332 TOMUK
BEKOL-SIMLI,BEKOL A461 BUBDA W56 VYK G212 SOTMU B339 HUR B334 TGO G212 HRB A588 SIMLI
BEKOL-SGMN,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 GOBIN W66 NUKTI B215 FKG A368 SARIN/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 GOBIN W66 NUKTI B215 HAM W99 QTV W190 ADPET B206 GOPTO/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT/BEKOL A461 BUBDA W56 OBMEP B208 NIXAL
BEKOL-SGM,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 GOBIN W66 NUKTI B215 FKG A368 SARIN/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 GOBIN W66 NUKTI B215 HAM W99 QTV W190 ADPET B206 GOPTO/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT
BEKOL-SARIN,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 GOBIN W66 NUKTI B215 FKG A368 SARIN
BEKOL-SADLI,BEKOL A461 SHL G471 PLT A599 JTN G327 LAMEN A593 SADLI
BEKOL-RULAD,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 GOBIN W66 NUKTI B215 KABDO W119 GOBOK A343 RULAD
BEKOL-POLHO,BEKOL A461 BUBDA W56 OBMEP B208 HET G218 POLHO
BEKOL-NIXAL,BEKOL A461 BUBDA W56 OBMEP B208 NIXAL
BEKOL-MORIT,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT
BEKOL-MN,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT/BEKOL A461 BUBDA W56 OBMEP B208 NIXAL
BEKOL-L888-RULAD,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 WFX B213 PEXUN L888 XKC A460 RULAD
BEKOL-KAMUD,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 GOBIN W66 NUKTI B215 KABDO W119 LIMDO A468 KAMUD
BEKOL-INTIK,BEKOL A461 BUBDA W56 OBMEP B208 HET W32 INTIK
BEKOL-GOPTO,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 GOBIN W66 NUKTI B215 HAM W99 QTV W190 ADPET B206 GOPTO
LINSO-RULAD,LINSO A599  SGM W144 IGNAK W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG B215 KABDO W119 GOBOK A343 RULAD
BEKOL-G470-SGMRN,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG G588 NIRAV B206 GOPTO/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG B215 KABDO W119 GOBOK A343 RULAD/BEKOL A461 BUBDA W56 OBMEP B208 NIXAL
BEKOL-G470-SGMRK,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG G588 NIRAV B206 GOPTO/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG B215 KABDO W119 GOBOK A343 RULAD/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG B215 KABDO W119 LIMDO A468 KAMUD
BEKOL-G470-SGMN,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG G588 NIRAV B206 GOPTO/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT/BEKOL A461 BUBDA W56 OBMEP B208 NIXAL
BEKOL-G470-SGM,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG G588 NIRAV B206 GOPTO/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT
BEKOL-G470-SM,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT
BEKOL-G470-SARIN,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN
BEKOL-G470-RULAD,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG B215 KABDO W119 GOBOK A343 RULAD
SIKOU-TEBAK,SIKOU R339 WUY R474 TEBAK
BEKOL-G470/Y1-SGMRN,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG G588 NIRAV B206 GOPTO/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON Y1 SADAN L888 XKC A460 RULAD/BEKOL A461 BUBDA W56 OBMEP B208 NIXAL
BEKOL-G470/Y1-SGMRK,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG G588 NIRAV B206 GOPTO/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON Y1 SADAN L888 XKC A460 RULAD/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON Y1 SADAN W186 KAMUD
BEKOL-G470/L888-SGMRN,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG G588 NIRAV B206 GOPTO/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 WFX B213 PEXUN L888 XKC A460 RULAD/BEKOL A461 BUBDA W56 OBMEP B208 NIXAL
BEKOL-G470/L888-SGMRK,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG G588 NIRAV B206 GOPTO/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 WFX B213 PEXUN L888 XKC A460 RULAD/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON Y1 SADAN W186 KAMUD
BEKOL-BISUN,BEKOL A461 BUBDA W56 VYK G212 SOTMU B339 HUR B334 TGO G341 WQG B451 BISUN
BEKOL-ARGUK,BEKOL A461 BUBDA W56 VYK G212 SOTMU B339 HUR B334 TGO G212 ARGUK
TEBAK-AGAVO,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 PK A593 AKARA A326 IKEKA A591 AGAVO
TEBAK-ARGUK,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 VYK G212 SOTMU B339 HUR B334 TGO G212 ARGUK
TEBAK-BISUN,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 VYK G212 SOTMU B339 HUR B334 TGO G341 WQG B451 BISUN
TEBAK-GOLOT,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 VYK W34 PAMRU W244 IGMOR W36 ENVAV W243 OTBUL W35 CHG A575 BIDIB A345 GOLOT
BEKOL-G470-KAMUD,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG B215 KABDO W119 LIMDO A468 KAMUD
TEBAK-INTIK,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 OBMEP B208 HET W32 INTIK
TEBAK-NIXAL,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 OBMEP B208 NIXAL
TEBAK-SADLI,TEBAK R474 GYA A599 POU G471 PLT A599 JTN G327 LAMEN A593 SADLI
TEBAK-SARIN,TEBAK R474 WUY R343 LBN W2 SJG B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN
TEBAK-TAMOT,TEBAK R474 GYA B330 TAMOT
TEBAK-TOMUK,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 VYK W34 VAPGU W100 ORAVA W201 UNSEK A326 SANKO B332 TOMUK
TEBAK-VHHH,TEBAK R474 GYA B330 POU R473 SIERA
TEBAK-VMMC,TEBAK R474 GYA B330 POU W7 SAREX W6 LATOP
TEBAK-WHA-SADLI,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 PK W116 JTN G327 LAMEN A593 SADLI
BEKOL-APSMS,BEKOL A461 BUBDA W56 VYK G212 SOTMU B339 HUR B334 TGO G212 ARGUK/BEKOL A461 BUBDA W56 OBMEP B208 HET G218 POLHO/BEKOL A461 BUBDA W56 VYK G212 SOTMU B339 HUR B334 TGO G212 HRB A588 SIMLI/BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT/BEKOL A461 SHL G471 PLT A599 JTN G327 LAMEN A593 SADLI
BEKOL-AGAVO,BEKOL A461 SHL G471 PLT A599 PUD A593 AKARA A326 IKEKA A591 AGAVO
ASSAD-SIKOU,ASSAD A202 SIKOU
AGAVO-W112-PURPA,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 YHD W199 YBL B330 GOBIN W66 NUKTI B215 IBANO W187 TUSLI W112 PURPA
AGAVO-VHHH,AGAVO A591 IKEKA A326 AKARA A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 NLG W23 ZUH R473 SIERA
AGAVO-TELOK,AGAVO G597 DONVO A326 SANKO W107 CHI A588 BIDIB A345 TELOK
TOMUK-TEBAK,TOMUK B332 SANKO A326 UNSEK W55 PAMRU W34 VYK W37 OLMIB W83 GOSMA R343 WUY R474 TEBAK
AGAVO-TAMOT,AGAVO A591 IKEKA A326 AKARA A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 TAMOT
AGAVO-SIMLI,AGAVO G597 DONVO A326 SANKO W107 CHI A588 SIMLI
AGAVO-SARIN,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 YHD W199 YBL B330 GOBIN W66 NUKTI B215 FKG A368 SARIN
AGAVO-RULAD,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 YHD W199 YBL B330 GOBIN W66 NUKTI B215 KABDO W119 GOBOK A343 RULAD
AGAVO-POLHO,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 LADIX B339 POLHO 
AGAVO-KAMUD,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 YHD W199 YBL B330 GOBIN W66 NUKTI B215 KABDO W119 LIMDO A468 KAMUD
AGAVO-BISUN,AGAVO G597 DONVO A326 SANKO W107 CHI A588 LJB G341 WQG B451 BISUN
AGAVO-AS,AGAVO G597 DONVO A326 SANKO W107 CHI A588 HRB G212 ARGUK/AGAVO G597 DONVO A326 SANKO W107 CHI A588 SIMLI
VMMC-TEBAK,ZUH R200 LH R339 WUY R474 TEBAK
AGAVO-ARGUK,AGAVO G597 DONVO A326 SANKO W107 CHI A588 HRB G212 ARGUK
AGAVO-W104-SARIN,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 LEBOM W104 VEXEB W47 IDSOT W48 DKO W66 NUKTI B215 FKG A368 SARIN
KAMUD-W186-VHHH,KAMUD W186 SADAN W187 TUSLI W112 VIKUP W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA
BISUN-SAGAG,BISUN B451 WQG G341 TGO G212 BUMDU W47 ASAVA W45 LIN A581 QNX W136 XISLI A581 SAGAG
SAGAG-BISUN,SAGAG A581 IDPOG W56 VYK G212 SOTMU B339 HUR B334 TGO G341 WQG B451 BISUN
LINSO-BISUN,LINSO A599 SGM A581 LIN W207 AVPID B213 OBDON W56 VYK G212 SOTMU B339 HUR B334 TGO G341 WQG B451 BISUN
BISUN-LINSO,BISUN B451 WQG G341 TGO G212 VYK W37 DUBAS R343 WHA A581 QNX W136 XISLI A581 SGM A599 LINSO
AGAVO-B339-SARIN,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 LADIX B339 HUR B339 ASILA A575 UPREK W28 KEVOB W28 ATBUG W66 NUKTI B215 FKG A368 SARIN
AGAVO-B339-PURPA,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 LADIX B339 HUR B339 ASILA A575 UPREK W28 KEVOB W28 ATBUG W66 NUKTI B215 IBANO W187 TUSLI W112 PURPA
AGAVO-B339-RULAD,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 LADIX B339 HUR B339 ASILA A575 UPREK W28 KEVOB W28 ATBUG W66 NUKTI B215 KABDO W119 GOBOK A343 RULAD
AGAVO-B339-KAMUD,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 LADIX B339 HUR B339 ASILA A575 UPREK W28 KEVOB W28 ATBUG W66 NUKTI B215 KABDO W119 LIMDO A468 KAMUD
